account_id,date,api_calls,error_count,rate_limit_hits_429,webhook_success_rate,p95_latency_ms
acc_0002,2024-09-30,23490,186,0,0.9504,486
acc_0002,2024-10-01,24433,182,0,0.9879,431
acc_0002,2024-10-02,15282,127,0,0.9575,555
acc_0002,2024-10-03,28542,572,0,0.9981,437
acc_0002,2024-10-04,21383,204,0,0.9934,338
acc_0002,2024-10-05,3086,24,0,0.9708,402
acc_0002,2024-10-06,4021,64,0,0.982,397
acc_0002,2024-10-07,23774,161,0,0.9857,549
acc_0002,2024-10-08,23484,282,0,0.9525,362
acc_0002,2024-10-09,22191,409,0,0.9902,517
acc_0002,2024-10-10,24560,441,0,0.9741,458
acc_0002,2024-10-11,20318,138,0,0.9575,370
acc_0002,2024-10-12,4287,22,0,0.9714,431
acc_0002,2024-10-13,3905,60,0,0.9903,442
acc_0002,2024-10-14,19345,365,0,0.9903,395
acc_0002,2024-10-15,24242,279,0,0.9862,452
acc_0002,2024-10-16,19813,340,0,0.9728,289
acc_0002,2024-10-17,18444,317,0,0.9558,419
acc_0002,2024-10-18,23149,424,0,0.9695,405
acc_0002,2024-10-19,4436,51,0,0.9929,567
acc_0002,2024-10-20,2539,21,0,0.9608,420
acc_0002,2024-10-21,19313,326,0,0.9778,646
acc_0002,2024-10-22,25507,145,0,0.9524,297
acc_0002,2024-10-23,19728,235,0,0.9871,389
acc_0002,2024-10-24,20528,196,0,0.9756,518
acc_0002,2024-10-25,17670,111,0,0.9501,424
acc_0002,2024-10-26,4236,33,0,0.9936,572
acc_0002,2024-10-27,4623,92,0,0.9529,604
acc_0002,2024-10-28,25985,217,0,0.9833,365
acc_0002,2024-10-29,16096,192,0,0.9586,397
acc_0002,2024-10-30,18049,198,0,0.9527,473
acc_0002,2024-10-31,22751,194,0,0.9935,237
acc_0002,2024-11-01,15929,113,0,0.9804,354
acc_0002,2024-11-02,2411,44,0,0.8042,512
acc_0002,2024-11-03,1494,15,0,0.8718,494
acc_0002,2024-11-04,8366,173,0,0.7998,456
acc_0002,2024-11-05,9836,71,0,0.7714,499
acc_0002,2024-11-06,12952,189,0,0.7774,407
acc_0002,2024-11-07,11070,221,0,0.8692,436
acc_0002,2024-11-08,6771,96,0,0.7939,474
acc_0002,2024-11-09,1482,169,0,0.7806,589
acc_0002,2024-11-10,1842,219,0,0.7543,414
acc_0002,2024-11-11,8001,1301,0,0.8684,502
acc_0002,2024-11-12,7883,1375,0,0.7828,479
acc_0002,2024-11-13,6387,535,0,0.8289,479
acc_0002,2024-11-14,9686,1600,0,0.7994,513
acc_0002,2024-11-15,10279,1162,0,0.8606,610
acc_0003,2024-08-18,1482,25,0,0.9743,517
acc_0003,2024-08-19,1211,22,0,0.9592,372
acc_0003,2024-08-20,1599,17,0,0.955,510
acc_0003,2024-08-21,1527,31,0,0.9798,227
acc_0003,2024-08-22,1504,10,0,0.9889,482
acc_0003,2024-08-23,1721,32,0,0.9512,331
acc_0003,2024-08-24,1870,14,0,0.9827,324
acc_0003,2024-08-25,1641,20,0,0.9756,440
acc_0003,2024-08-26,1763,18,0,0.9547,471
acc_0003,2024-08-27,1684,34,0,0.954,666
acc_0003,2024-08-28,1535,18,0,0.9711,407
acc_0003,2024-08-29,1341,27,0,0.952,523
acc_0003,2024-08-30,1560,9,1,0.9959,478
acc_0003,2024-08-31,2042,15,0,0.9762,417
acc_0003,2024-09-01,1526,18,0,0.9531,518
acc_0003,2024-09-02,1496,14,0,0.9973,549
acc_0003,2024-09-03,1815,32,0,0.9978,321
acc_0003,2024-09-04,1580,27,0,0.9767,473
acc_0003,2024-09-05,1937,31,0,0.9737,436
acc_0003,2024-09-06,1169,13,0,0.9544,363
acc_0003,2024-09-07,1666,20,0,0.9956,406
acc_0003,2024-09-08,1696,14,0,0.9978,435
acc_0003,2024-09-09,1723,35,0,0.9616,433
acc_0003,2024-09-10,1469,12,0,0.9779,502
acc_0003,2024-09-11,1584,13,0,0.9892,324
acc_0003,2024-09-12,1886,20,0,0.9544,529
acc_0003,2024-09-13,1817,20,0,0.9878,481
acc_0003,2024-09-14,1920,29,0,0.983,523
acc_0003,2024-09-15,1742,13,0,0.9959,380
acc_0003,2024-09-16,1197,15,0,0.9749,414
acc_0003,2024-09-17,883,11,0,0.9734,396
acc_0003,2024-09-18,1672,24,0,0.9612,473
acc_0003,2024-09-19,2140,26,0,0.9939,423
acc_0003,2024-09-20,1708,26,0,0.9883,440
acc_0003,2024-09-21,2134,32,0,0.967,527
acc_0003,2024-09-22,1414,15,0,0.9708,453
acc_0003,2024-09-23,1280,15,0,0.9606,458
acc_0003,2024-09-24,1854,27,1,0.9866,436
acc_0003,2024-09-25,2085,41,0,0.9576,485
acc_0003,2024-09-26,1720,32,0,0.9873,385
acc_0003,2024-09-27,1795,22,0,0.9572,400
acc_0003,2024-09-28,1581,21,0,0.9845,361
acc_0003,2024-09-29,1663,28,0,0.9899,404
acc_0003,2024-09-30,1438,15,0,0.9586,489
acc_0003,2024-10-01,1085,18,0,0.9654,460
acc_0003,2024-10-02,1602,19,0,0.9648,315
acc_0003,2024-10-03,1636,32,0,0.9744,295
acc_0003,2024-10-04,1284,18,1,0.9936,416
acc_0003,2024-10-05,1843,11,0,0.9508,499
acc_0003,2024-10-06,1718,24,1,0.9771,610
acc_0003,2024-10-07,1358,23,0,0.9915,517
acc_0003,2024-10-08,1643,15,0,0.9797,307
acc_0003,2024-10-09,1395,13,0,0.9583,392
acc_0003,2024-10-10,1448,16,0,0.9909,391
acc_0003,2024-10-11,1770,31,0,0.963,461
acc_0003,2024-10-12,1392,24,0,0.9615,356
acc_0003,2024-10-13,1625,19,0,0.9712,432
acc_0003,2024-10-14,1668,18,0,0.9909,452
acc_0003,2024-10-15,1831,37,0,0.9519,437
acc_0003,2024-10-16,1717,11,0,0.9694,262
acc_0003,2024-10-17,1811,14,0,0.9701,337
acc_0003,2024-10-18,1545,24,0,0.9982,475
acc_0003,2024-10-19,1643,14,0,0.9858,540
acc_0003,2024-10-20,1887,15,0,0.9591,490
acc_0003,2024-10-21,1633,31,0,0.9893,429
acc_0003,2024-10-22,1576,11,0,0.9962,683
acc_0003,2024-10-23,1163,13,0,0.9517,496
acc_0003,2024-10-24,1597,27,0,0.9603,577
acc_0003,2024-10-25,1676,31,0,0.965,461
acc_0003,2024-10-26,1582,27,0,0.996,527
acc_0003,2024-10-27,1588,21,0,0.9865,256
acc_0003,2024-10-28,1741,15,1,0.9746,543
acc_0003,2024-10-29,1544,26,0,0.9947,492
acc_0003,2024-10-30,1494,19,0,0.9592,309
acc_0003,2024-10-31,1765,34,0,0.9982,441
acc_0003,2024-11-01,2014,41,0,0.9546,450
acc_0003,2024-11-02,838,9,0,0.8768,460
acc_0003,2024-11-03,853,8,0,0.817,479
acc_0003,2024-11-04,501,4,0,0.8339,406
acc_0003,2024-11-05,678,7,0,0.8584,469
acc_0003,2024-11-06,837,5,0,0.84,437
acc_0003,2024-11-07,627,11,0,0.7545,482
acc_0003,2024-11-08,588,5,0,0.7243,359
acc_0003,2024-11-09,700,108,0,0.8051,602
acc_0003,2024-11-10,706,70,0,0.8621,403
acc_0003,2024-11-11,486,45,0,0.8756,460
acc_0003,2024-11-12,602,58,0,0.7539,533
acc_0003,2024-11-13,456,81,0,0.7318,457
acc_0003,2024-11-14,634,99,0,0.8209,442
acc_0003,2024-11-15,717,108,0,0.7916,523
acc_0004,2024-08-18,12777,95,0,0.9575,490
acc_0004,2024-08-19,11702,150,0,0.992,475
acc_0004,2024-08-20,13494,93,0,0.9838,397
acc_0004,2024-08-21,13332,104,0,0.9772,631
acc_0004,2024-08-22,12316,72,1,0.984,399
acc_0004,2024-08-23,12258,120,0,0.97,517
acc_0004,2024-08-24,12563,170,0,0.9616,413
acc_0004,2024-08-25,14726,149,0,0.9745,473
acc_0004,2024-08-26,11625,126,0,0.9795,566
acc_0004,2024-08-27,16337,174,1,0.9736,505
acc_0004,2024-08-28,17219,280,0,0.9721,531
acc_0004,2024-08-29,10944,46,0,0.9712,425
acc_0004,2024-08-30,10521,48,0,0.9779,438
acc_0004,2024-08-31,13337,84,0,0.9807,425
acc_0004,2024-09-01,13673,188,0,0.9613,449
acc_0004,2024-09-02,14655,218,0,0.9989,471
acc_0004,2024-09-03,14553,109,0,0.9785,429
acc_0004,2024-09-04,9962,158,0,0.96,501
acc_0004,2024-09-05,12646,101,0,0.9716,379
acc_0004,2024-09-06,14073,200,0,0.9632,483
acc_0004,2024-09-07,15833,167,0,0.9812,568
acc_0004,2024-09-08,12600,105,0,0.9562,330
acc_0004,2024-09-09,11705,82,0,0.9872,419
acc_0004,2024-09-10,16014,102,0,0.9821,503
acc_0004,2024-09-11,15606,179,0,0.9511,481
acc_0004,2024-09-12,11515,112,0,0.9717,563
acc_0004,2024-09-13,16806,259,0,0.9505,504
acc_0004,2024-09-14,13758,83,1,0.9599,400
acc_0004,2024-09-15,11958,193,0,0.9742,594
acc_0004,2024-09-16,17683,124,0,0.9523,413
acc_0004,2024-09-17,14790,143,0,0.9816,465
acc_0004,2024-09-18,11156,146,0,0.955,387
acc_0004,2024-09-19,12084,88,0,0.9521,325
acc_0004,2024-09-20,15558,99,0,0.9904,535
acc_0004,2024-09-21,15886,70,1,0.9953,452
acc_0004,2024-09-22,14890,244,1,0.9944,490
acc_0004,2024-09-23,15774,234,1,0.9801,400
acc_0004,2024-09-24,16809,103,0,0.9862,532
acc_0004,2024-09-25,10369,105,0,0.975,354
acc_0004,2024-09-26,13294,178,0,0.9681,312
acc_0004,2024-09-27,13686,219,0,0.986,578
acc_0004,2024-09-28,14495,216,0,0.9618,348
acc_0004,2024-09-29,14775,190,0,0.9984,305
acc_0004,2024-09-30,12924,109,0,0.9535,454
acc_0004,2024-10-01,15104,127,0,0.9914,368
acc_0004,2024-10-02,16553,268,0,0.9819,463
acc_0004,2024-10-03,13169,78,0,0.9575,488
acc_0004,2024-10-04,15089,89,0,0.9716,431
acc_0004,2024-10-05,13898,63,0,0.9801,511
acc_0004,2024-10-06,10431,45,0,0.9622,489
acc_0004,2024-10-07,14941,215,0,0.9685,387
acc_0004,2024-10-08,13935,148,0,0.9669,341
acc_0004,2024-10-09,15422,247,0,0.9511,457
acc_0004,2024-10-10,15425,217,0,0.981,627
acc_0004,2024-10-11,13581,133,0,0.9768,337
acc_0004,2024-10-12,17022,74,0,0.9722,500
acc_0004,2024-10-13,11805,194,0,0.9733,462
acc_0004,2024-10-14,14507,77,0,0.9708,451
acc_0004,2024-10-15,12842,95,0,0.9747,332
acc_0004,2024-10-16,15803,236,0,0.9691,554
acc_0004,2024-10-17,13490,107,0,0.9515,508
acc_0004,2024-10-18,13557,87,0,0.9831,523
acc_0004,2024-10-19,16011,211,0,0.9729,370
acc_0004,2024-10-20,16011,110,0,0.9941,511
acc_0004,2024-10-21,11892,68,0,0.9617,454
acc_0004,2024-10-22,15842,253,0,0.9797,362
acc_0004,2024-10-23,11406,96,0,0.958,480
acc_0004,2024-10-24,13893,89,0,0.98,492
acc_0004,2024-10-25,14140,66,0,0.9553,429
acc_0004,2024-10-26,14692,97,0,0.9686,277
acc_0004,2024-10-27,12568,66,0,0.9512,462
acc_0004,2024-10-28,16802,266,0,0.9747,399
acc_0004,2024-10-29,15591,215,0,0.9914,515
acc_0004,2024-10-30,14775,212,0,0.9651,305
acc_0004,2024-10-31,17941,249,0,0.9546,511
acc_0004,2024-11-01,13957,199,1,0.9795,386
acc_0004,2024-11-02,6505,30,0,0.7917,465
acc_0004,2024-11-03,6802,103,0,0.7633,467
acc_0004,2024-11-04,6755,71,0,0.7868,455
acc_0004,2024-11-05,5517,47,0,0.8105,483
acc_0004,2024-11-06,6783,111,0,0.8456,475
acc_0004,2024-11-07,4852,52,0,0.7472,475
acc_0004,2024-11-08,6974,110,0,0.7384,481
acc_0004,2024-11-09,4701,657,0,0.8505,420
acc_0004,2024-11-10,5964,872,0,0.739,363
acc_0004,2024-11-11,5830,654,0,0.814,504
acc_0004,2024-11-12,4934,446,0,0.88,496
acc_0004,2024-11-13,7774,1338,0,0.734,675
acc_0004,2024-11-14,5844,651,0,0.7768,363
acc_0004,2024-11-15,5398,916,0,0.7605,488
acc_0005,2024-08-18,174,1,0,0.9821,301
acc_0005,2024-08-19,784,7,0,0.9929,412
acc_0005,2024-08-20,1201,9,0,0.9645,370
acc_0005,2024-08-21,927,5,0,0.9597,451
acc_0005,2024-08-22,893,5,0,0.9762,457
acc_0005,2024-08-23,1006,11,1,0.9756,485
acc_0005,2024-08-24,201,1,0,0.9842,528
acc_0005,2024-08-25,220,0,0,0.9775,451
acc_0005,2024-08-26,924,6,0,0.9854,457
acc_0005,2024-08-27,816,7,1,0.9913,468
acc_0005,2024-08-28,943,4,0,0.9922,488
acc_0005,2024-08-29,773,4,0,0.9845,366
acc_0005,2024-08-30,917,8,0,0.9598,548
acc_0005,2024-08-31,162,1,0,0.9651,489
acc_0005,2024-09-01,167,1,0,0.9521,445
acc_0005,2024-09-02,1084,12,0,0.9871,259
acc_0005,2024-09-03,1065,6,0,0.9756,536
acc_0005,2024-09-04,999,11,0,0.9539,434
acc_0005,2024-09-05,988,5,1,0.9586,302
acc_0005,2024-09-06,859,2,0,0.9533,522
acc_0005,2024-09-07,188,2,0,0.9602,600
acc_0005,2024-09-08,169,1,0,0.9784,451
acc_0005,2024-09-09,1075,4,0,0.971,505
acc_0005,2024-09-10,1238,9,0,0.9534,541
acc_0005,2024-09-11,1089,5,0,0.9855,655
acc_0005,2024-09-12,819,2,0,0.9512,378
acc_0005,2024-09-13,540,4,0,0.9709,410
acc_0005,2024-09-14,238,1,0,0.9985,470
acc_0005,2024-09-15,207,0,0,0.9734,454
acc_0005,2024-09-16,991,8,0,0.9629,628
acc_0005,2024-09-17,885,6,0,0.966,450
acc_0005,2024-09-18,592,2,0,0.9927,567
acc_0005,2024-09-19,946,8,0,0.9915,470
acc_0005,2024-09-20,918,3,1,0.9874,516
acc_0005,2024-09-21,213,0,0,0.979,434
acc_0005,2024-09-22,127,0,0,0.9792,372
acc_0005,2024-09-23,898,4,0,0.9561,502
acc_0005,2024-09-24,1008,9,0,0.9937,275
acc_0005,2024-09-25,943,5,0,0.9662,575
acc_0005,2024-09-26,784,5,0,0.9763,568
acc_0005,2024-09-27,1077,8,0,0.9533,361
acc_0005,2024-09-28,177,1,0,0.9547,421
acc_0005,2024-09-29,117,0,0,0.9839,453
acc_0005,2024-09-30,910,9,0,0.9852,408
acc_0005,2024-10-01,1017,11,0,0.9788,539
acc_0005,2024-10-02,916,10,0,0.9579,474
acc_0005,2024-10-03,800,6,0,0.9524,398
acc_0005,2024-10-04,1004,8,0,0.9853,394
acc_0005,2024-10-05,160,0,0,0.9634,421
acc_0005,2024-10-06,118,1,0,0.9544,576
acc_0005,2024-10-07,687,6,0,0.9905,558
acc_0005,2024-10-08,819,4,0,0.9719,301
acc_0005,2024-10-09,884,5,0,0.9525,540
acc_0005,2024-10-10,1214,13,0,0.9748,328
acc_0005,2024-10-11,1065,10,0,0.9688,373
acc_0005,2024-10-12,157,1,0,0.9525,439
acc_0005,2024-10-13,186,1,0,0.9771,509
acc_0005,2024-10-14,1036,7,0,0.9517,511
acc_0005,2024-10-15,1036,5,0,0.9526,383
acc_0005,2024-10-16,866,7,0,0.9727,302
acc_0005,2024-10-17,657,3,0,0.991,437
acc_0005,2024-10-18,758,5,0,0.9605,555
acc_0005,2024-10-19,202,1,0,0.9947,415
acc_0005,2024-10-20,193,2,0,0.9906,452
acc_0005,2024-10-21,641,5,0,0.9838,427
acc_0005,2024-10-22,1174,9,0,0.9883,441
acc_0005,2024-10-23,907,6,0,0.9714,449
acc_0005,2024-10-24,1035,4,0,0.9657,537
acc_0005,2024-10-25,1228,10,0,0.9966,548
acc_0005,2024-10-26,199,1,0,0.9727,488
acc_0005,2024-10-27,218,1,0,0.9866,478
acc_0005,2024-10-28,1048,6,0,0.952,467
acc_0005,2024-10-29,1034,3,0,0.9773,564
acc_0005,2024-10-30,999,8,0,0.9841,432
acc_0005,2024-10-31,673,2,0,0.9595,444
acc_0005,2024-11-01,871,5,0,0.9581,493
acc_0005,2024-11-02,100,0,0,0.7399,380
acc_0005,2024-11-03,58,0,0,0.8708,488
acc_0005,2024-11-04,473,3,0,0.8406,411
acc_0005,2024-11-05,415,2,0,0.8266,315
acc_0005,2024-11-06,466,3,0,0.8437,419
acc_0005,2024-11-07,246,2,0,0.8517,478
acc_0005,2024-11-08,503,2,0,0.8691,374
acc_0005,2024-11-09,87,9,0,0.7662,631
acc_0005,2024-11-10,90,15,0,0.8208,480
acc_0005,2024-11-11,358,36,0,0.8517,370
acc_0005,2024-11-12,530,72,0,0.8581,529
acc_0005,2024-11-13,463,74,0,0.8263,383
acc_0005,2024-11-14,529,85,0,0.8391,384
acc_0005,2024-11-15,469,64,0,0.737,406
acc_0006,2024-08-18,20142,226,0,0.9741,434
acc_0006,2024-08-19,21967,386,0,0.9729,401
acc_0006,2024-08-20,18392,287,0,0.9785,524
acc_0006,2024-08-21,17281,361,0,0.9667,572
acc_0006,2024-08-22,20162,358,0,0.964,567
acc_0006,2024-08-23,17148,195,0,0.975,445
acc_0006,2024-08-24,19558,500,0,0.9929,546
acc_0006,2024-08-25,18577,261,0,0.9927,497
acc_0006,2024-08-26,19284,428,0,0.9848,437
acc_0006,2024-08-27,24351,237,0,0.9815,365
acc_0006,2024-08-28,13979,323,0,0.9611,448
acc_0006,2024-08-29,17825,119,0,0.9773,485
acc_0006,2024-08-30,16586,239,0,0.9582,416
acc_0006,2024-08-31,19890,280,0,0.9938,397
acc_0006,2024-09-01,21568,279,0,0.9633,430
acc_0006,2024-09-02,20614,415,0,0.9782,486
acc_0006,2024-09-03,23156,493,0,0.9677,331
acc_0006,2024-09-04,19956,321,0,0.9516,297
acc_0006,2024-09-05,15791,126,0,0.9932,561
acc_0006,2024-09-06,22340,436,0,0.9757,381
acc_0006,2024-09-07,22055,277,0,0.9536,466
acc_0006,2024-09-08,19026,433,0,0.9986,440
acc_0006,2024-09-09,19394,143,0,0.987,438
acc_0006,2024-09-10,19740,227,0,0.9566,363
acc_0006,2024-09-11,20057,266,0,0.9606,403
acc_0006,2024-09-12,18455,454,0,0.9689,348
acc_0006,2024-09-13,16114,413,0,0.9915,447
acc_0006,2024-09-14,18361,360,0,0.9877,501
acc_0006,2024-09-15,17105,191,0,0.9661,533
acc_0006,2024-09-16,18165,133,0,0.9928,481
acc_0006,2024-09-17,18388,318,0,0.9638,354
acc_0006,2024-09-18,21415,258,0,0.9833,394
acc_0006,2024-09-19,14802,307,0,0.9728,406
acc_0006,2024-09-20,17508,363,0,0.9609,511
acc_0006,2024-09-21,22379,441,0,0.9815,415
acc_0006,2024-09-22,27266,200,0,0.9886,369
acc_0006,2024-09-23,23952,252,0,0.9788,480
acc_0006,2024-09-24,19819,272,0,0.9686,414
acc_0006,2024-09-25,23879,505,0,0.996,538
acc_0006,2024-09-26,21523,312,0,0.9757,398
acc_0006,2024-09-27,18781,166,0,0.9701,381
acc_0006,2024-09-28,19861,367,0,0.9724,339
acc_0006,2024-09-29,17683,208,0,0.9697,450
acc_0006,2024-09-30,17973,148,0,0.9769,517
acc_0006,2024-10-01,15026,104,0,0.9961,367
acc_0006,2024-10-02,19569,182,0,0.9981,316
acc_0006,2024-10-03,26853,219,0,0.9978,370
acc_0006,2024-10-04,20988,292,0,0.9956,545
acc_0006,2024-10-05,19763,376,0,0.9974,508
acc_0006,2024-10-06,17594,354,0,0.9573,512
acc_0006,2024-10-07,22403,212,0,0.962,469
acc_0006,2024-10-08,17133,442,0,0.9504,422
acc_0006,2024-10-09,16934,303,0,0.9835,694
acc_0006,2024-10-10,16358,294,0,0.9602,455
acc_0006,2024-10-11,21220,331,0,0.9658,298
acc_0006,2024-10-12,19885,509,0,0.9609,383
acc_0006,2024-10-13,20704,301,0,0.9659,541
acc_0006,2024-10-14,19536,184,0,0.9881,418
acc_0006,2024-10-15,18568,241,0,0.9577,396
acc_0006,2024-10-16,17601,148,0,0.979,380
acc_0006,2024-10-17,21912,262,0,0.9781,407
acc_0006,2024-10-18,18343,164,0,0.9956,354
acc_0006,2024-10-19,21136,427,0,0.9851,271
acc_0006,2024-10-20,20590,172,0,0.9797,368
acc_0006,2024-10-21,22216,380,0,0.9579,398
acc_0006,2024-10-22,17560,218,0,0.9769,341
acc_0006,2024-10-23,18629,196,0,0.998,534
acc_0006,2024-10-24,17328,194,0,0.9865,417
acc_0006,2024-10-25,17341,149,0,0.9539,426
acc_0006,2024-10-26,19155,406,0,0.9842,508
acc_0006,2024-10-27,22970,189,0,0.966,423
